Symbol,Total5Y%,CAGR5Y%,2021%,2022%,2023%,2024%,2025%
360ONE.NS,297.44,34.49,38.55,22.58,59.22,78.53,-20.26
3MINDIA.NS,45.59,8.4,20.04,-14.94,73.48,-17.09,1.94
AADHARHFC.NS,52.66,38.83,,,,28.27,19.81
AARTIIND.NS,-40.33,-10.49,59.4,-40.03,6.35,-37.08,-9.61
AAVAS.NS,-11.65,-2.62,52.04,-29.74,-15.26,7.58,-9.4
ABB.NS,305.53,35.07,81.2,21.65,74.44,47.63,-27.85
ABBOTINDIA.NS,99.92,16.04,23.75,10.8,6.6,30.67,4.86
ABCAPITAL.NS,211.84,27.66,39.06,15.94,7.08,7.09,55.22
ABFRL.NS,-53.54,-15.18,63.51,5.08,-22.0,23.95,-72.56
ABREL.NS,328.39,36.67,124.59,-21.95,68.14,95.99,-30.79
ABSLAMC.NS,19.39,4.67,-24.03,-14.05,2.78,76.36,-0.14
ACC.NS,10.8,2.23,36.26,8.45,-9.37,-8.51,-12.25
ACE.NS,638.0,53.6,55.73,35.89,170.21,78.2,-32.15
ACMESOLAR.NS,12.42,15.95,,,,-6.91,21.28
ADANIENSOL.NS,-6.59,-3.29,,,27.83,-23.59,-5.13
ADANIENT.NS,357.03,38.58,248.05,124.69,-25.83,-13.32,-12.14
ADANIGREEN.NS,-14.3,-3.26,24.79,43.43,-15.44,-34.89,-12.7
ADANIPORTS.NS,160.55,22.83,44.94,11.06,24.57,17.49,7.72
ADANIPOWER.NS,1097.71,70.43,98.8,195.71,76.14,1.18,14.05
AEGISLOG.NS,-4.11,-3.3,,,,16.98,-17.47
AFCONS.NS,-11.89,-14.38,,,,14.99,-22.57
AFFLE.NS,146.64,21.39,45.77,-9.34,21.83,35.08,7.64
AIAENG.NS,55.29,9.91,-4.86,38.22,42.74,-7.64,-9.99
AJANTPHARM.NS,125.09,19.03,35.4,-17.9,72.52,35.77,-17.26
AKUMS.NS,-42.95,-41.04,,,,-19.82,-28.23
ALIVUS.NS,-4.45,-7.03,,,,,-4.45
ALKEM.NS,79.73,13.42,22.82,-17.48,73.35,10.04,-4.8
ALKYLAMINE.NS,29.2,5.66,128.56,-29.2,-4.73,-34.77,10.79
ALOKINDS.NS,-26.07,-6.28,9.34,-39.61,35.56,-2.23,-17.8
AMBER.NS,204.55,27.01,38.97,-42.8,66.84,135.28,-5.27
AMBUJACEM.NS,124.52,18.97,50.49,35.43,-1.06,0.28,4.57
ANANDRATHI.NS,857.55,83.94,0.85,10.87,268.82,53.62,41.84
ANANTRAJ.NS,1823.09,88.67,188.08,46.54,172.36,186.69,-39.69
ANGELONE.NS,556.41,49.79,251.12,7.79,164.91,-18.19,-26.77
APARINDS.NS,2122.48,94.63,124.17,134.42,231.84,70.31,-25.7
APLAPOLLO.NS,273.27,32.69,132.57,15.05,38.91,2.59,1.21
APLLTD.NS,-10.13,-2.27,-23.09,-29.1,33.49,39.22,-10.68
APOLLOHOSP.NS,215.13,27.95,107.61,-10.28,28.06,26.89,3.26
APOLLOTYRE.NS,156.92,22.46,21.82,46.81,38.32,16.8,-12.39
APTUS.NS,-8.45,-2.17,-2.02,-12.81,5.44,-12.31,8.95
ARE&M.NS,54.46,26.26,,,27.28,45.44,-18.19
ASAHIINDIA.NS,200.94,26.69,73.53,6.31,10.63,33.87,10.78
ASHOKLEY.NS,156.27,22.39,23.56,12.29,22.13,18.58,13.98
ASIANPAINT.NS,-9.26,-2.06,21.88,-9.77,11.65,-32.82,9.28
ASTERDM.NS,259.26,31.6,3.89,29.61,78.33,27.23,15.42
ASTRAL.NS,38.43,7.23,74.21,-15.79,29.56,-13.27,-17.66
ASTRAZEN.NS,82.8,13.83,-33.06,7.01,65.23,29.4,17.57
ATGL.NS,56.87,10.15,356.95,111.77,-72.18,-23.97,-21.2
AUBANK.NS,64.06,11.22,18.41,22.87,19.85,-28.87,26.29
AWL.NS,-6.24,-1.8,,130.25,-41.24,-16.06,-23.49
